Bairro,Endereco,Quartos,Tipo,Preco,Distancia do aeroporto,CEP,Banheiro,Vagas,Area terreno,Area construida,Ano da construcao,Latitude,Longitude
Port Melbourne,467 Bay St,2,casa,1000000,3.8,3207,2,0,96,108,1890,-37.8327,144.9474
Fitzroy North,111 Best St,3,casa,1275000,3.5,3068,2,1,104,110,1890,-37.7813,144.9834
South Melbourne,247 York St,3,casa,1250000,2.1,3205,2,0,224,113,1890,-37.8329,144.9529
Hawthorn East,61 Roseberry St,3,casa,1625000,7.5,3123,2,1,255,115,1890,-37.8266,145.0493
Richmond,41 Cameron St,3,casa,1320000,2.6,3121,2,2,171,118,1890,-37.8166,144.9987
Parkville,55 Park Dr,3,casa,2790000,2.6,3052,2,1,180,120,1890,-37.79588,144.95718
South Melbourne,24 Lyell St,3,casa,1250000,2.1,3205,2,1,108,125,1890,-37.8363,144.9509
Prahran,3 Arkle St,3,casa,1811000,4.5,3181,2,1,273,125,1890,-37.8544,145.0038
Newport,115 North Rd,3,casa,1046000,8.4,3015,2,2,284,125,1890,-37.8446,144.8861
Hawthorn,37 Brook St,3,casa,1400000,4.6,3122,2,1,164,126,1890,-37.8159,145.0219
South Melbourne,72 Smith St,3,casa,1595000,2.1,3205,2,0,171,126,1890,-37.8391,144.9501
Brunswick,69 Glenlyon Rd,3,casa,1210000,5.2,3056,2,1,280,130,1890,-37.7719,144.9661
Williamstown,8 Freyer St,4,casa,,8,3016,2,1,340,130,1890,-37.8552,144.89
Port Melbourne,32 Derham St,3,casa,,3.8,3207,2,1,203,131,1890,-37.83899,144.94629
Ascot Vale,72 Kent St,3,casa,,5.9,3032,2,2,298,132,1890,-37.78,144.9247
Albert Park,94 Graham St,3,casa,1850000,3.3,3206,2,0,128,133,1890,-37.8452,144.9488
Albert Park,17 Reed St,3,casa,1740000,3.3,3206,2,2,147,134,1890,-37.8448,144.9453
Fitzroy North,717 Brunswick St,3,casa,1300000,3.5,3068,2,0,127,135,1890,-37.7851,144.9809
Clifton Hill,11 Page St,3,casa,1370000,3.4,3068,2,1,176,135,1890,-37.7921,144.9898
South Yarra,3 Palermo St,3,casa,2285000,3.3,3141,2,2,221,135,1890,-37.8416,144.9959
Brighton East,31 Agnew St,3,casa,,10.7,3187,2,1,371,140,1890,-37.9102,145.0109
South Melbourne,16 Tribe St,3,casa,2000000,2.1,3205,2,1,161,141,1890,-37.8383,144.9499
Albert Park,9 Boyd St,3,casa,,3.3,3206,2,1,336,145,1890,-37.8471,144.9561
Fairfield,197 Station St,4,casa,1160000,5.8,3078,2,1,381,145,1890,-37.7735,145.0192
Brunswick East,9 John St,4,casa,1625000,4.5,3057,2,2,822,145,1890,-37.7749,144.9762
Albert Park,97 Page St,3,casa,3010000,3.3,3206,2,0,147,146,1890,-37.8473,144.9551
Middle Park,23 Nimmo St,3,casa,2250000,4.1,3206,2,1,148,146,1890,-37.84705,144.96437
Port Melbourne,190 Nott St,3,casa,,3.8,3207,2,1,151,146,1890,-37836,144.9431
South Melbourne,44 Iffla St,3,casa,,2.1,3205,2,0,142,147,1890,-37.8378,144.9497
South Yarra,62 Powell St,3,casa,1945000,3.3,3141,2,1,194,148,1890,-37.8395,144.9898
North Melbourne,6 Shiel St,3,casa,1385000,2.3,3051,2,0,118,150,1890,-37.7976,144944
Brunswick,316 Brunswick Rd,3,casa,,5.2,3056,2,1,200,151,1890,-37.7763,144.9526
Fitzroy North,26 Grant St,3,casa,,3.5,3068,2,1,351,152,1890,-37.7892,144.9849
South Melbourne,396 Dorcas St,4,casa,1620000,2.1,3205,2,0,163,153,1890,-37.8355,144951
Prahran,93 Charles St,3,casa,2180000,4.5,3181,2,2,238,153,1890,-37.8476,144.9892
Princes Hill,77 McIlwraith St,4,casa,1908000,3.7,3054,2,1,256,156,1890,-37.7833,144.9681
Footscray,37 Stirling St,3,casa,1362000,6.4,3011,2,0,497,156,1890,-37.7958,144.9024
Balaclava,10 Grosvenor St,3,casa,1690000,6.6,3183,2,2,339,159,1890,-37872,144.9909
Moonee Ponds,61 Athol St,3,casa,1400000,6.9,3039,2,2,394,160,1890,-37.7699,144.9149
Hawthorn East,11 Council St,3,casa,1320000,7.5,3123,2,1,213,162,1890,-37.8302,145.0542
South Melbourne,164 Cecil St,3,casa,2075000,2.1,3205,2,0,141,163,1890,-37.8333,144.9576
Yarraville,8 Ofarrell St,3,casa,,7,3013,2,1,235,166,1890,-37.81,144889
Elsternwick,10 Seymour Rd,3,casa,,8.5,3185,2,1,479,167,1890,-37.8806,145008
Carlton North,1018 Drummond St,4,casa,2520000,3.2,3054,2,2,504,168,1890,-37.7805,144.9721
Hawthorn,59 Mason St,3,casa,2410000,4.6,3122,2,0,249,171,1890,-37.8169,145021
Fitzroy,302 Gore St,4,casa,,1.6,3065,2,2,261,172,1890,-37.8,144.9831
Yarraville,47 Bayview Rd,5,casa,1815000,7,3013,2,2,644,172,1890,-37.8102,144.8857
Hawthorn,23 Edgerton St,4,casa,1936000,4.6,3122,2,1,218,173,1890,-37.8142,145.0252
Fitzroy North,79 Delbridge St,4,casa,3400000,3.5,3068,2,1,445,175,1890,-37786,144.9864
Yarraville,122 Blackwood St,4,casa,1606000,7,3013,2,3,455,178,1890,-37.8177,144.8839
Malvern,35 Dixon St,3,casa,2050000,7.4,3144,2,1,231,180,1890,-37.8607,145.0373
Armadale,15 Sutherland Rd,3,casa,,6.3,3143,2,2,459,180,1890,-37.8595,145.0166
Elsternwick,36 Murray St,3,casa,,8.5,3185,2,3,674,181,1890,-37.8848,145013
Prahran,16 Greville St,4,casa,,4.5,3181,2,1,348,183,1890,-37.8487,144.9862
Malvern East,37 Emo Rd,3,casa,,11.2,3145,2,2,711,184,1890,-37.8759,145.0518
Malvern,20 Gordon Gr,4,casa,1965000,7.4,3144,2,1,300,185,1890,-37.8638,145.0298
Northcote,13 Hawthorn Rd,4,casa,2175000,5.5,3070,2,1,573,186,1890,-37.7707,144.9924
Port Melbourne,133 Station St,3,casa,,3.8,3207,2,0,185,187,1890,-37.84066,144.93899
Camberwell,28 Brinsley Rd,4,casa,2650000,7.8,3124,2,1,652,189,1890,-37.8286,145.0686
Surrey Hills,3 Wilson St,4,casa,,11.2,3127,2,2,506,192,1890,-37.8219,145.1004
Carlton,176 Cardigan St,4,casa,1630100,1.8,3053,2,0,132,195,1890,-37801,144.9656
South Melbourne,248 Montague St,3,casa,1650000,2.1,3205,2,0,204,195,1890,-37.8357,144.9531
Caulfield North,5 Kambrook Rd,3,casa,,8.1,3161,2,1,241,195,1890,-37.87283,145.03597
Malvern,67 Wheatland Rd,4,casa,2400000,7.4,3144,2,2,586,195,1890,-37866,145039
Box Hill,55 Albion Rd,4,casa,1600000,13.1,3128,2,1,692,195,1890,-37.8247,145.1281
Parkville,187 Park Dr,3,casa,2236000,2.6,3052,2,1,154,196,1890,-37.7934,144.9562
Albert Park,112 Beaconsfield Pde,3,casa,2850000,3.3,3206,2,0,211,198,1890,-37.8481,144.9499
Hawthorn East,41 Clive Rd,3,casa,,7.5,3123,2,1,544,199,1890,-37.8334,145.05
Yarraville,54 Tongue St,4,casa,2035000,7,3013,2,0,607,201,1890,-37.80978,144.89252
St Kilda,12 Gurner St,4,casa,1900000,6.1,3182,2,2,507,202,1890,-37.8616,144.9807
Armadale,47 Northcote Rd,3,casa,,6.3,3143,2,0,246,204,1890,-37.8533,145.0169
Glen Iris,47 Alfred Rd,4,casa,,9.2,3146,2,2,744,204,1890,-37.85381,145.07513
Armadale,54 Denbigh Rd,4,casa,,6.3,3143,2,2,551,208,1890,-37.8566,145.0161
Fitzroy North,74 Barkly St,4,casa,1950000,3.5,3068,2,2,233,216,1890,-37.7786,144.9818
Hawthorn,10 Oak St,4,casa,3225000,4.6,3122,2,2,665,220,1890,-37814,145.0175
Newport,74 Alma Tce,4,casa,2337000,8.4,3015,2,3,580,222,1890,-37.83699,144.8698
Kew,176 Cotham Rd,4,casa,2625000,5.6,3101,2,2,717,225,1890,-37.8083,145.0418
Hawthorn,5 Power St,5,casa,,4.6,3122,2,2,813,230,1890,-37.8142,145028
Hawthorn,8 Fashoda St,3,casa,,4.6,3122,2,1,340,234,1890,-37818,145.0251
Hawthorn,31 Grove Rd,4,casa,,4.6,3122,2,2,613,234,1890,-37.8146,145.0248
Toorak,292 Williams Rd,4,casa,,4.6,3142,2,2,322,237,1890,-37.8384,145.0053
Kew,68 Mary St,5,casa,2425000,5.6,3101,2,2,534,237,1890,-37.8044,145.0386
Camberwell,84 Bowen St,4,casa,,7.8,3124,2,2,730,244,1890,-37.8449,145.0621
Kew,80 Brougham St,4,casa,2850000,5.6,3101,2,4,690,248,1890,-37.8037,145.0308
Camberwell,6 Kingsley St,4,casa,3550000,7.8,3124,2,1,790,251,1890,-37.82694,145.06607
Essendon,242 Buckley St,3,casa,1100000,8,3040,2,1,789,257,1890,-37.7558,144.9073
Brunswick,222 Barkly St,5,casa,2500000,5.2,3056,2,2,555,266,1890,-37.7767,144.9645
Essendon,57 Hoddle St,4,casa,,8,3040,2,4,,270,1890,-37.7519,144.9233
Kensington,11 Nottingham St,5,casa,1710000,4.2,3031,2,2,566,270,1890,-37.7893,144933
Kensington,11 Nottingham St,5,casa,1900000,4.2,3031,2,2,566,270,1890,-37.7893,144933
Hawthorn,151 Power St,4,casa,1976000,4.6,3122,2,2,410,275,1890,-37.8246,145026
Hawthorn,4 Ardene Ct,5,casa,3950000,4.6,3122,2,3,1236,340,1890,-37.8257,145.0321
Kew,24 Fitzwilliam St,5,casa,1975000,5.6,3101,2,1,531,1022,1890,-37813,145.0411
South Yarra,50 Nicholson St,3,casa,,3.3,3141,2,1,278,162.52,1890,-37.83704,144.98688
Hawthorn,43 Connell St,4,casa,,4.6,3122,2,1,371,,1890,-37.8184,145025
Surrey Hills,8 Charles St,4,casa,1530000,11.2,3127,2,2,486,,1890,-37.8258,145.1116
Hawthorn,392 Auburn Rd,4,casa,,4.6,3122,2,2,688,,1890,-37.8345,145.0426
Windsor,77 Raleigh St,3,casa,1910000,5.1,3181,3,1,143,89,1890,-37.8525,144.9881
Carlton North,112 Newry St,4,casa,1425000,3.2,3054,3,0,122,130,1890,-37.7893,144.9696
Canterbury,42 Warburton Rd,3,casa,2200000,9,3126,3,2,468,148,1890,-37.8264,145.0741
South Yarra,70 Park St,3,casa,3000000,3.3,3141,3,2,191,175,1890,-37836,144.9824
Williamstown,19 Verdon St,4,casa,2910000,8,3016,3,0,338,196,1890,-37.8633,144.8963
Malvern East,16 Turner St,4,casa,,11.2,3145,3,2,597,202,1890,-37.8742,145.0453
Ascot Vale,7 Angler Pde,4,casa,1640000,5.9,3032,3,2,562,204,1890,-37782,144903
Brunswick,25 Hardy St,4,casa,1500000,5.2,3056,3,1,365,209,1890,-37.7624,144.9671
Williamstown,14 Osborne St,4,casa,,8,3016,3,0,502,210,1890,-37.8684,144.9042
Elwood,2 Dryden St,4,casa,,7.7,3184,3,1,475,213,1890,-37.8745,144.9849
Seddon,93 Williamstown Rd,5,casa,1275000,6.6,3011,3,1,386,218,1890,-37.8078,144.8846
Richmond,78 Davison St,5,casa,3200000,2.6,3121,3,3,618,260,1890,-37.8157,145.0073
Prahran,30 Charles St,5,casa,,4.5,3181,3,2,450,267,1890,-37.85,144.9892
Camberwell,25 Russell St,4,casa,3225000,7.8,3124,3,1,632,270,1890,-37.8244,145064
Fitzroy,17 Bell St,4,casa,4011000,1.6,3065,3,2,286,275,1890,-37.7999,144.9755
Brighton,82 New St,5,casa,3700000,11.2,3186,3,4,1572,305,1890,-37.9233,144.9944
Kew,49 Princess St,4,casa,2250000,5.6,3101,3,2,741,307,1890,-37.8043,145.0291
Malvern,18 Soudan St,5,casa,4240000,7.4,3144,3,3,580,320,1890,-37.8653,145.0304
Essendon,29 Brewster St,4,casa,,8,3040,3,3,1536,344,1890,-37.7514,144.9218
Hawthorn,144 Power St,6,casa,,4.6,3122,3,4,859,362,1890,-37.8234,145.0259
Kew,15 Barry St,6,casa,6500000,5.6,3101,6,3,1334,365,1890,-37.8029,145.0267
Kew,72 Peel St,5,casa,,5.6,3101,2,2,749,283,1892,-37.8007,145.0339
Armadale,10 Eileen St,3,casa,,6.3,3143,1,2,250,,1893,-37.85144,145.01549
Richmond,131 Lord St,4,casa,3335000,2.6,3121,2,2,319,,1893,-37.8244,145.0044
South Yarra,366 Toorak Rd,3,casa,1700000,3.3,3141,1,1,178,172,1894,-37.8404,145.0022
Windsor,344 High St,3,casa,2302000,5.1,3181,1,4,440,144,1895,-37.8528,144.9994
South Yarra,10 Fawkner St,4,casa,,3.3,3141,2,2,338,182,1895,-37.84516,144.98834
Elsternwick,46 Hartington St,4,casa,,8.5,3185,2,1,478,211,1895,-37.8916,145.0124
Collingwood,31/78 Oxford St,2,kitnet,1215000,1.6,3066,2,1,,,1895,-37.8035,144985
Hughesdale,9A Normanby St,2,casa,980000,13,3166,1,1,387,,1896,-37.90207,145.07852
Camberwell,18 Russell St,4,casa,2600000,7.8,3124,2,2,600,232,1897,-37.8237,145.0638
Fitzroy North,205 Scotchmer St,3,casa,2150000,3.5,3068,2,0,202,307,1898,-37.7835,144.9867
Hawthorn,5 Riversdale Rd,4,casa,,4.6,3122,2,2,1124,,1898,-37.8276,145026
South Melbourne,5 Park Pl,2,kitnet,650000,2.1,3205,1,0,438,2,1900,-37.83394,144.95814
Newport,10 Crawford St,1,casa,643700,8.4,3015,1,0,129,45,1900,-37.8491,144.8903
Melbourne,19/562 Little Bourke St,1,kitnet,,2.8,3000,1,1,,53,1900,-37.8152,144.9557
Prahran,513/220 Commercial Rd,1,kitnet,,4.5,3181,1,0,4655,53,1900,-37847,144.9936
Albert Park,9 Durham St,1,casa,985000,3.3,3206,1,0,81,54,1900,-37.8411,144.9497
West Melbourne,209/5 Stawell St,1,kitnet,443000,1.9,3003,1,1,547,58,1900,-37806,144942
Richmond,6 Berry St,2,casa,900000,2.6,3121,1,0,95,63,1900,-37.8193,144.9976
Albert Park,7 Herbert Pl,2,casa,,3.3,3206,1,0,99,65,1900,-37.8438,144.9588
St Kilda,27 Bath St,2,casa,875000,6.1,3182,1,1,123,68,1900,-37.8641,144.9866
Cremorne,14 Dover St,2,casa,930000,2.5,3121,1,1,125,68,1900,-37.8258,144992
Port Melbourne,39 Heath St,2,casa,900000,3.8,3207,1,0,124,70,1900,-37.8356,144.9439
Collingwood,130 Keele St,2,casa,890000,1.6,3066,1,1,178,70,1900,-37.7974,144.9915
Hawthorn East,45 Roseberry St,2,casa,1335000,7.5,3123,1,0,229,70,1900,-37.8265,145.0484
Ascot Vale,1/91 Epsom Rd,2,kitnet,545000,5.9,3032,1,2,194,71,1900,-37.7772,144.9118
Richmond,50 Canterbury St,2,casa,827500,2.6,3121,1,0,127,72,1900,-37.8251,145.0063
Prahran,76 Pridham St,2,casa,1182500,4.5,3181,1,0,141,72,1900,-37852,145.0061
Kensington,70 Hardiman St,2,casa,960000,4.2,3031,1,1,174,72,1900,-37.7959,144.9343
Richmond,52 Coppin St,2,casa,,2.6,3121,1,1,153,73,1900,-37.8195,145.0035
Fitzroy,101/416 Gore St,2,kitnet,715000,1.6,3065,1,1,,74,1900,-37.7967,144.9836
Richmond,24 The Crofts,2,casa,1125000,2.6,3121,1,0,103,74,1900,-37.8199,144.9911
Thornbury,84 Raleigh St,2,casa,760000,6.5,3071,1,0,,75,1900,-37.7595,145.0061
Richmond,22 Garfield St,2,casa,990000,2.6,3121,1,1,117,75,1900,-37812,144.9939
Abbotsford,10 Valiant St,2,casa,1097000,2.5,3067,1,2,220,75,1900,-37801,144.9989
South Melbourne,22A Cobden St,2,casa,930000,2.1,3205,1,0,115,76,1900,-37.8345,144.9685
Port Melbourne,205 Heath St,2,casa,1115000,3.8,3207,1,0,120,76,1900,-37.8322,144947
Richmond,143 Burnley St,2,casa,777500,2.6,3121,1,1,151,76,1900,-37.8171,145009
Ascot Vale,73 Kent St,2,casa,760000,5.9,3032,1,1,124,77,1900,-37.7807,144.9285
Richmond,2 Moore St,1,casa,911000,2.6,3121,1,0,126,77,1900,-37.82105,145.00643
South Yarra,39 Hardy St,2,casa,1130000,3.3,3141,1,1,132,77,1900,-37.8446,144.9896
Burnley,148 Stawell St,2,casa,1202500,3.5,3121,1,1,149,77,1900,-37.8287,145.0089
Flemington,107 Shields St,2,casa,918000,4.4,3031,1,0,136,78,1900,-37.7839,144.9343
Thornbury,4 Kelvin Gr,2,casa,944000,6.5,3071,1,1,185,78,1900,-37763,145.0025
Prahran,84 York St,2,casa,1305000,4.5,3181,1,1,131,79,1900,-37.8479,144.9988
Abbotsford,25 Bloomburg St,2,casa,1035000,2.5,3067,1,0,156,79,1900,-37.8079,144.9934
Footscray,101 MacPherson St,2,casa,,6.4,3011,1,2,200,79,1900,-37.7971,144.8898
Middle Park,158 Neville St,2,casa,1300000,4.1,3206,1,0,132,80,1900,-37.84684,144.9604
Richmond,52 Hunter St,2,casa,1150000,2.6,3121,1,0,156,80,1900,-37.8209,145.0052
Footscray,27 MacPherson St,2,casa,882000,6.4,3011,1,0,172,80,1900,-37.7936,144.88878
Yarraville,33 Berry St,2,casa,,7,3013,1,0,200,80,1900,-37.8117,144.8957
Carlton,83 Cardigan St,2,casa,840000,1.8,3053,1,0,66,81,1900,-37.8049,144.9644
Albert Park,396 Montague St,2,casa,1436000,3.3,3206,1,0,130,81,1900,-37.8431,144.9565
Seddon,80 Gamon St,2,casa,815000,6.6,3011,1,0,172,81,1900,-37.81,144.8896
Richmond,81 Erin St,3,casa,1260000,2.6,3121,1,0,203,81,1900,-37.8166,144.9945
Hawthorn East,19 Roseberry St,2,casa,,7.5,3123,1,1,218,81,1900,-37.82638,
Maidstone,67 Norfolk St,3,casa,840000,9.2,3012,1,1,584,81,1900,-37.7885,144.8771
Albert Park,105 Kerferd Rd,2,casa,1275000,3.3,3206,1,0,120,82,1900,-37.8459,144.9555
South Yarra,14 Moore St,2,casa,1214000,3.3,3141,1,0,161,82,1900,-37.84228,144.98676
Abbotsford,200 Nicholson St,2,casa,1012500,2.5,3067,1,0,182,82,1900,-37.8021,144.9976
Abbotsford,49 Park St,2,casa,1315000,2.5,3067,1,0,147,85,1900,-37808,144994
Prahran,19 Packington Pl,2,casa,1055000,4.5,3181,1,0,203,85,1900,-37.8557,145.0053
Moonee Ponds,20 Huntly St,2,casa,970000,6.9,3039,1,2,272,85,1900,-37.76192,144.93527
Coburg,18 Industry La,2,apartamento,570000,7.8,3058,1,1,,86,1900,-37.7367,144.9701
South Yarra,33 Tyrone St,2,casa,1200000,3.3,3141,1,1,163,86,1900,-37.8446,144.9879
Ascot Vale,51 Francis St,2,casa,770000,5.9,3032,1,1,226,87,1900,-37.7774,144.9186
Richmond,308 Lennox St,2,casa,1220000,2.6,3121,1,1,166,88,1900,-37.8245,144.9933
Newport,65 Alma Tce,2,casa,890000,8.4,3015,1,0,168,90,1900,-37.8475,144.8897
Kensington,123 Rankins Rd,2,casa,850000,4.2,3031,1,1,169,90,1900,-37.7925,144.9315
Richmond,58 Rooney St,2,casa,1045000,2.6,3121,1,2,200,90,1900,-37.8294,145.0029
Hawthorn,44 College St,3,casa,1300000,4.6,3122,1,0,232,90,1900,-37.8173,145.0252
Collingwood,8/115 Oxford St,2,kitnet,800000,1.6,3066,1,1,,91,1900,-37.8026,144.9848
Abbotsford,47 Studley St,2,casa,1180000,2.5,3067,1,0,162,91,1900,-37.8016,144.9956
Richmond,127 Lord St,2,casa,,2.6,3121,1,1,189,91,1900,-37.8242,145.0045
Collingwood,10/76 Oxford St,2,kitnet,683000,1.6,3066,1,1,,92,1900,-37.8035,144985
Richmond,32 Duke St,2,casa,1025000,2.6,3121,1,1,169,92,1900,-37.8235,145.0035
Richmond,13 McKay St,3,casa,1150000,2.6,3121,1,0,176,92,1900,-37.8116,145.0042
Hawthorn,4A Simpson Pl,3,casa,1180000,4.6,3122,1,3,218,92,1900,-37.8176,145.0204
Port Melbourne,129 Pickles St,2,casa,,3.8,3207,1,1,151,93,1900,-37.8396,144.9469
Footscray,25 Southampton St,3,casa,840000,6.4,3011,1,0,164,93,1900,-37.7959,144.8863
Yarraville,25 Gray St,4,casa,706000,7,3013,1,0,165,93,1900,-37819,144895
Brunswick,246 Victoria St,2,casa,890000,5.2,3056,1,1,199,93,1900,-37.7676,144.9659
Coburg,6 Shackell St,2,casa,735000,7.8,3058,1,1,280,93,1900,-37.7429,144952
Burnley,92 Madden Gr,2,casa,881000,3.5,3121,1,1,172,94,1900,-37.8283,145012
Port Melbourne,44 Cruikshank St,2,casa,1350000,3.8,3207,1,1,195,94,1900,-37.8395,144.9462
Richmond,30 Cameron St,3,casa,1474000,2.6,3121,1,0,238,94,1900,-37.8167,144.9977
Footscray,7 Essex St,2,casa,747000,6.4,3011,1,1,320,94,1900,-37.7964,144.8871
Fitzroy,36 Alexandra Pde,2,casa,,1.6,3065,1,1,129,95,1900,-37.7934,144.9772
Richmond,3 Kimber St,3,casa,1330000,2.6,3121,1,1,154,95,1900,-37.82324,
North Melbourne,28 Alfred St,3,casa,,2.3,3051,1,0,176,95,1900,-37.7906,144.9408
Maidstone,67 Ballarat Rd,2,casa,646000,9.2,3012,1,2,270,95,1900,-37.7871,144.8791
Newport,14 Oakbank St,2,casa,896000,8.4,3015,1,0,297,95,1900,-37.8501,144.8931
Clifton Hill,17 Myrtle St,2,casa,1435000,3.4,3068,1,2,239,96,1900,-37.7918,144997
Caulfield North,21 Malvern Gr,2,casa,,8.1,3161,1,0,249,97,1900,-37.86909,145.02959
Clifton Hill,13 Caroline St,3,casa,1060000,3.4,3068,1,0,193,98,1900,-37.7899,144.9984
Brunswick West,12 Hamilton St,2,casa,820000,5.9,3055,1,1,206,98,1900,-37.7604,144.9488
Footscray,224 Ballarat Rd,2,casa,690500,6.4,3011,1,1,212,98,1900,-37.7903,144.8879
Footscray,9 Lynch St,3,casa,1003000,6.4,3011,1,1,292,98,1900,-37797,144.9051
Kensington,94 McConnell St,2,casa,1031000,4.2,3031,1,1,163,99,1900,-37.7929,144.9287
Collingwood,71 Palmer St,2,casa,888000,1.6,3066,1,0,112,100,1900,-37.80012,144.99007
Northcote,52 Charles St,2,casa,1211000,5.5,3070,1,1,178,100,1900,-37777,144.9922
Richmond,5 Union St,3,casa,1520000,2.6,3121,1,2,248,100,1900,-37.8185,144.9935
Malvern,7 Hunter St,2,casa,1326000,7.4,3144,1,0,254,100,1900,-37.8674,145.0355
Windsor,31 Raleigh St,2,casa,1350000,5.1,3181,1,1,157,101,1900,-37.8522,144986
Footscray,47 Shepherd St,3,casa,871000,6.4,3011,1,1,267,101,1900,-37.79507,144.8936
Yarraville,37 Buninyong St,3,casa,,7,3013,1,0,349,101,1900,-37.8198,144.8882
Ascot Vale,4 The Parade,2,casa,950000,5.9,3032,1,1,173,102,1900,-37.7731,144.9206
Richmond,19 Dickens St,3,casa,1270000,2.6,3121,1,1,181,102,1900,-37.8203,145.0092
Brunswick,56 Rose St,2,casa,,5.2,3056,1,1,203,102,1900,-37.7566,144.9526
Footscray,53 Ryan St,2,casa,1170000,6.4,3011,1,1,184,103,1900,-37.7988,144902
Fitzroy North,34 Fergie St,3,casa,,3.5,3068,1,3,382,103,1900,-37.7845,144.9847
South Melbourne,25 Mountain St,3,casa,1270000,2.1,3205,1,0,149,104,1900,-37.8374,144.9495
Kensington,67 Collett St,3,casa,1010000,4.2,3031,1,0,234,104,1900,-37.7923,144.9332
Richmond,247 Church St,3,casa,1010000,2.6,3121,1,1,199,105,1900,-37.8193,144.9993
Richmond,113 Buckingham St,3,casa,,2.6,3121,1,2,403,105,1900,-37814,145.0054
Port Melbourne,180 Station St,3,casa,1402000,3.8,3207,1,0,108,106,1900,-37.8332,144945
Richmond,118 Somerset St,3,casa,1214000,2.6,3121,1,0,176,106,1900,-37817,145.00544
Armadale,14 New St,3,casa,1300000,6.3,3143,1,2,212,106,1900,-37.8542,145.0149
Hawthorn,31 Smart St,2,casa,1800000,4.6,3122,1,0,221,106,1900,-37.81633,145.04053
Collingwood,6 Forest St,2,casa,981000,1.6,3066,1,0,188,107,1900,-37.7964,144.9923
Albert Park,29 Faussett St,2,casa,2120000,3.3,3206,1,1,199,107,1900,-37.8422,144.9554
Moonee Ponds,82 Argyle St,3,casa,990000,6.9,3039,1,2,328,107,1900,-37.7658,144.9077
Northcote,119 Bent St,2,casa,,5.5,3070,1,1,186,108,1900,-37.7667,144991
Footscray,69 MacPherson St,2,casa,757500,6.4,3011,1,0,258,108,1900,-37.7959,144.8901
Armadale,63 Denbigh Rd,3,casa,1900000,6.3,3143,1,2,328,108,1900,-37.8559,145.0158
Flemington,2 Dalgleish St,3,casa,,4.4,3031,1,1,172,109,1900,-37.7817,144928
Ascot Vale,10 Fenton St,2,casa,1053000,5.9,3032,1,1,269,109,1900,-37.7748,144929
Fitzroy,28 Greeves St,2,casa,1350000,1.6,3065,1,0,131,110,1900,-37.7967,
Fitzroy,107 Cecil St,2,casa,1300000,1.6,3065,1,1,157,110,1900,-37.7941,144.98
Richmond,8 George St,2,casa,1189000,2.6,3121,1,0,158,110,1900,-37.8232,145.0002
Fitzroy,158 Cecil St,3,casa,,1.6,3065,1,1,267,110,1900,-37.80046,144.98363
Seddon,22 Alfred St,3,casa,1080000,6.6,3011,1,0,234,111,1900,-37.8051,144.8858
Ascot Vale,47 Union Rd,3,casa,,5.9,3032,1,2,271,111,1900,-37.7783,144.9149
Brunswick,217 Victoria St,3,casa,1210000,5.2,3056,1,0,282,112,1900,-37.76735,144.96598
Windsor,115 Albert St,3,casa,1370000,5.1,3181,1,2,317,112,1900,-37856,144.9891
Newport,7 Effingham Rd,3,casa,1305000,8.4,3015,1,0,357,112,1900,-37.8459,144.8877
Fitzroy,68 Alexandra Pde,3,casa,,1.6,3065,1,1,135,113,1900,-37.7935,144978
Prahran,60 Williams Rd,3,casa,,4.5,3181,1,1,195,113,1900,-37.8549,145.0023
Kew,15 Scott St,3,casa,,5.6,3101,1,1,260,113,1900,-37.8121,145.0419
Kensington,72 Bayswater Rd,3,casa,1271000,4.2,3031,1,1,284,113,1900,-37.7938,144.9228
Prahran,203/11 Hillingdon Pl,3,kitnet,710000,4.5,3181,1,1,,114,1900,-37.8516,144.9943
Ascot Vale,57 Bloomfield Rd,3,casa,,5.9,3032,1,1,206,115,1900,-37.7765,144.9177
Richmond,32 Cameron St,3,casa,1555000,2.6,3121,1,0,250,115,1900,-37.8167,144.9978
Spotswood,14 Robb St,3,casa,1100000,7.7,3015,1,0,305,115,1900,-37.8288,144.96669
Hawthorn East,20 Stewart St,3,casa,1650000,7.5,3123,1,1,354,115,1900,-37.8225,145.0551
Fitzroy,218 Kerr St,2,kitnet,,1.6,3065,1,1,,116,1900,-37798,144.9837
Albert Park,140 Danks St,2,casa,,3.3,3206,1,2,366,117,1900,-37847,144.9506
Richmond,36 Elm Gr,3,casa,1695000,2.6,3121,1,3,210,118,1900,-37.8247,145.0001
Newport,73 Farm St,3,casa,923000,8.4,3015,1,0,221,118,1900,-37.8415,144.8852
Seddon,302 Nicholson St,3,casa,,6.6,3011,1,0,241,119,1900,-37.8101,144.8977
Elsternwick,12 Rusden St,3,casa,965000,8.5,3185,1,2,275,119,1900,-37.8859,144.9994
South Melbourne,38 Tribe St,3,casa,2633000,2.1,3205,1,0,276,119,1900,-37838,144.9489
Yarraville,30 Simpson St,3,casa,1460000,7,3013,1,2,463,119,1900,-37.8172,144.8924
Kensington,39 Henry St,3,casa,1455000,4.2,3031,1,0,275,120,1900,-37.7954,144.9274
Williamstown,8 Princes St,3,casa,1150000,8,3016,1,0,308,120,1900,-37.85363,144.88842
Brunswick East,156 Glenlyon Rd,3,casa,1050000,4.5,3057,1,1,279,122,1900,-37.7729,144.9722
